"Original","Translation"
"Amended From","Modifié de"
"Commission","Commission"
"Commission Pecentage","Pourcentage de Commission"
"Company","Société"
"Cumulative Execution %","Exécution Cumulative %"
"Detailed Invoice View","Vue détaillée de la facture"
"Executed Value","Valeur Exécutée"
"Execution % This Period","Exécution % Cette Période"
"Filter Required","Filtre Requis"
"From Date","Date de début"
"Invoice Progress (%) for {0}","Progression de la facture (%) pour {0}"
"Month","Mois"
"Monthly Financial Summary","Résumé Financier Mensuel"
"Monthly Productivity","Productivité Mensuelle"
"Monthly Productivity Doc","Document de Productivité Mensuelle"
"Monthly Productivity Summary","Résumé de la productivité mensuelle"
"Other Expenses","Autres Dépenses"
"Please select a Sales Invoice for the Detailed View.","Veuillez sélectionner une facture de vente pour la vue détaillée."
"Productivity","Productivité"
"Profit or Loss","Profit ou Perte"
"Report Date","Date du rapport"
"Sales Invoice","Facture de vente"
"Series","Série"
"Summary View","Vue résumée"
"To Date","Date de fin"
"Total","Total"
"Total Commission","Commission Totale"
"Total Executed Value","Valeur Totale Exécutée"
"Total Execution Percentage for Sales Invoice {0} cannot exceed 100%. The current total is {1}%.","Le pourcentage total d'exécution pour la facture de vente {0} ne peut pas dépasser 100 %. Le total actuel est de {1} %."
"Total Profit / Loss","Profit / Perte Total"
"Total Purchases","Achats Totaux"
"Validation Error","Erreur de validation"
"View Mode","Mode d'affichage"
"Year","Année"
