"Original","Translation"
"Amended From","Alterado de"
"Commission","Comissão"
"Commission Pecentage","Percentual de Comissão"
"Company","Empresa"
"Cumulative Execution %","Execução Acumulada %"
"Detailed Invoice View","Visualização Detalhada da Fatura"
"Executed Value","Valor Executado"
"Execution % This Period","Execução % Neste Período"
"Filter Required","Filtro Obrigatório"
"From Date","Data de Início"
"Invoice Progress (%) for {0}","Progresso da Fatura (%) para {0}"
"Month","Mês"
"Monthly Financial Summary","Resumo Financeiro Mensal"
"Monthly Productivity","Produtividade Mensal"
"Monthly Productivity Doc","Documento de Produtividade Mensal"
"Monthly Productivity Summary","Resumo Mensal de Produtividade"
"Other Expenses","Outras Despesas"
"Please select a Sales Invoice for the Detailed View.","Por favor, selecione uma Nota Fiscal de Venda para a Visualização Detalhada."
"Productivity","Produtividade"
"Profit or Loss","Lucro ou Prejuízo"
"Report Date","Data do Relatório"
"Sales Invoice","Nota Fiscal de Venda"
"Series","Série"
"Summary View","Visualização Resumida"
"To Date","Data de Término"
"Total","Total"
"Total Commission","Comissão Total"
"Total Executed Value","Valor Total Executado"
"Total Execution Percentage for Sales Invoice {0} cannot exceed 100%. The current total is {1}%.","A porcentagem total de execução para a Nota Fiscal de Venda {0} não pode exceder 100%. O total atual é {1}%."
"Total Profit / Loss","Lucro / Prejuízo Total"
"Total Purchases","Compras Totais"
"Validation Error","Erro de Validação"
"View Mode","Modo de Visualização"
"Year","Ano"
