"Original","Translation"
"Amended From","تم التعديل من"
"Commission","العمولة"
"Commission Pecentage","نسبة العمولة"
"Company","الشركة"
"Cumulative Execution %","النسبة التراكمية للتنفيذ"
"Detailed Invoice View","عرض الفاتورة التفصيلي"
"Executed Value","القيمة المنفذة"
"Execution % This Period","نسبة التنفيذ لهذه الفترة"
"Filter Required","مطلوب تحديد فلتر"
"From Date","من التاريخ"
"Invoice Progress (%) for {0}","نسبة تقدم الفاتورة (%) لـ {0}"
"Month","الشهر"
"Monthly Financial Summary","الملخص المالي الشهري"
"Monthly Productivity","الإنتاجية الشهرية"
"Monthly Productivity Doc","مستند الإنتاجية الشهرية"
"Monthly Productivity Summary","ملخص الإنتاجية الشهرية"
"Other Expenses","نفقات أخرى"
"Please select a Sales Invoice for the Detailed View.","يرجى اختيار فاتورة مبيعات للعرض التفصيلي."
"Productivity","الإنتاجية"
"Profit or Loss","الربح أو الخسارة"
"Report Date","تاريخ التقرير"
"Sales Invoice","فاتورة المبيعات"
"Series","السلسلة"
"Summary View","عرض الملخص"
"To Date","إلى التاريخ"
"Total","الإجمالي"
"Total Commission","إجمالي العمولة"
"Total Executed Value","إجمالي القيمة المنفذة"
"Total Execution Percentage for Sales Invoice {0} cannot exceed 100%. The current total is {1}%.","إجمالي نسبة التنفيذ لفاتورة المبيعات {0} لا يمكن أن تتجاوز 100٪. الإجمالي الحالي هو {1}٪."
"Total Profit / Loss","إجمالي الربح / الخسارة"
"Total Purchases","إجمالي المشتريات"
"Validation Error","خطأ في التحقق"
"View Mode","وضع العرض"
"Year","السنة"
