"Original","Translation"
"Amended From","Изменено из"
"Commission","Комиссия"
"Commission Pecentage","Процент комиссии"
"Company","Компания"
"Cumulative Execution %","Суммарное выполнение %"
"Detailed Invoice View","Детальный просмотр счета"
"Executed Value","Выполненное значение"
"Execution % This Period","Выполнение % за период"
"Filter Required","Требуется фильтр"
"From Date","С даты"
"Invoice Progress (%) for {0}","Прогресс счета (%) для {0}"
"Month","Месяц"
"Monthly Financial Summary","Ежемесячный финансовый отчет"
"Monthly Productivity","Ежемесячная производительность"
"Monthly Productivity Doc","Документ по производительности за месяц"
"Monthly Productivity Summary","Ежемесячный отчет о продуктивности"
"Other Expenses","Прочие расходы"
"Please select a Sales Invoice for the Detailed View.","Пожалуйста, выберите счет для детального просмотра."
"Productivity","Продуктивность"
"Profit or Loss","Прибыль или убыток"
"Report Date","Дата отчета"
"Sales Invoice","Счет на продажу"
"Series","Серия"
"Summary View","Сводный просмотр"
"To Date","По дату"
"Total","Итого"
"Total Commission","Общая комиссия"
"Total Executed Value","Общая выполненная сумма"
"Total Execution Percentage for Sales Invoice {0} cannot exceed 100%. The current total is {1}%.","Общий процент выполнения по счету {0} не может превышать 100%. Текущее значение: {1}%."
"Total Profit / Loss","Общая прибыль / убыток"
"Total Purchases","Общие закупки"
"Validation Error","Ошибка проверки"
"View Mode","Режим отображения"
"Year","Год"
